Region,Province,District,ContractID,Contractor,Road(KM),Bridge(M),Structure(M),Cost(USD),ContractSignDate,PlanStartDate,ActualStartDate,PlanCompletionDate,ActualCompletionDate,Status,LabourDay,PhysicalProgress,StatusID,ProjectID,ContractTypeID,Project,ContractorID,DistrictID,ProvinceID,SurfaceOption
East,Kunar,Nari,RRD/TF/NERAP/ EAST/KUN/019/C1/001,Community,1.47,,22,39381.85,17-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1400,100,4,17,2,NERAP - MRRD - TF,2,118,12,Gravelling
East,Kunar,Nari,RRD/TF/NERAP/ EAST/KUN/019/C1/002,Community,1.53,,6,39290.51,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1406,100,4,17,2,NERAP - MRRD - TF,2,118,12,Gravelling
East,Kunar,Nari,RRD/TF/NERAP/ EAST/KUN/019/C1/003,Community,1,,,39002.2,17-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1384,100,4,17,2,NERAP - MRRD - TF,2,118,12,Gravelling
East,Kunar,Nari,RRD/TF/NERAP/ EAST/KUN/019/C1/004,Community,1,,45,39394.59,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1494,100,4,17,2,NERAP - MRRD - TF,2,118,12,Gravelling
East,Kunar,Nari,RRD/TF/NERAP/ EAST/KUN/019/C1/005,Community,1.3,,,39423.34,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1432,100,4,17,2,NERAP - MRRD - TF,2,118,12,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/022/C2/001,Kokcha Kabul New Construction and Materials Production Company,8.5,,19,672374.62,21-Feb-11,16-Feb-11,16-Feb-11,18-Oct-12,29-Dec-12,Completed,6141,100,4,17,2,NERAP - MRRD - TF,924,415,34,Gravelling
Badakhshan,Badakhshan,Kishim,RRD/TF/NERAP/BKN/BKN/049/C2/001,Buildtech Engineering and Construction Company,10,,,354008.5,28-Aug-11,28-Aug-11,25-Sep-11,26-Oct-12,10-Sep-12,Completed,3478,100,4,17,2,NERAP - MRRD - TF,1407,389,34,Gravelling
Badakhshan,Badakhshan,Kishim,RRD/TF/NERAP/BKN/BKN/049/C2/002,Buildtech Engineering and Construction Company,7,,365.6,196776,13-Aug-11,28-Aug-11,10-Oct-11,17-Aug-12,10-Sep-12,Completed,2500,100,4,17,2,NERAP - MRRD - TF,1407,389,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/001,Community,1.8,,,27114,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3561,100,4,17,6,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/002,Community,1.4,,,27102,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3451,100,4,17,2,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/003,Community,,,20,27263.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3478,100,4,17,6,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/004,Community,1.4,,,27287,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3615,100,4,17,6,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/005,Community,1,,,27018.8,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3492,100,4,17,6,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Khwahan,RRD/TF/NERAP/BKN/BKN/062/C1/006,Community,,,15,27287.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3473,100,4,17,2,NERAP - MRRD - TF,2,398,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/001,Community,1.78,,,27124.8,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3499,100,4,17,6,NERAP - MRRD - TF,2,415,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/002,Community,1.1,,,27206.2,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3508,100,4,17,2,NERAP - MRRD - TF,2,415,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/003,Community,1,,,26994.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3813,100,4,17,2,NERAP - MRRD - TF,2,415,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/004,Community,2,,,27293.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3650,100,4,17,2,NERAP - MRRD - TF,2,415,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/005,Community,1.6,,,27153.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3704,100,4,17,2,NERAP - MRRD - TF,2,415,34,Gravelling
Badakhshan,Badakhshan,Yawan,RRD/TF/NERAP/BKN/BKN/063/C1/006,Community,2,,,27299.6,15-Dec-10,15-Jan-11,1-Mar-11,13-Jul-11,10-Jul-11,Completed,3500,100,4,17,2,NERAP - MRRD - TF,2,415,34,Gravelling
